25 - 29
Cassiana Ruset;Romania;1983;0;35;24
Iacoba Faur;Romania;1982;0;0;0

30 - 34
Maria Miulescu;Romania;1978;0;35;47
Dumitra Pricen;Romania;1980;0;36;0
Cristina-Ionela Talianu;Romania;1981;0;37;57
Ana Burlacu;Romania;1979;0;39;40
Irina Zaytsev;Russia;1977;0;42;39

35 - 39
Mihaela Duma;Romania;1972;0;29;27
Pierra Piela;Belgium;1973;0;32;0
Annia Sieradzki;Poland;1976;0;32;28
Francesca Labille;France;1974;0;33;98
Dana Amant;France;1975;0;36;0

40 - 44
Stefana Stanca;Romania;1970;0;28;56
Ana Paste;Romania;1969;0;30;28
Jenny Mesesan;Romania;1971;0;36;27
Gwen Black;England;1970;0;39;87

50 - 54
Zara Larisa;Sweden;1961;0;26;99
Jamina Roberts;Sweden;1961;0;29;30

55 - 59
Cezara Zamfira Stricata;Moldova;1954;0;31;25
Gizela Ioan Sfanta;Moldova;1956;0;33;50
Gheorgeta Fana Buna;Moldova;1955;0;34;0
Ionana Bon Ton;Moldova;1952;0;38;55
Bulina Daciana;Moldova;1953;0;42;23


